oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Mediana wieku ludności według płci|ogółem
124,011212014000,proszowicki,415.0,2022,1214,powiat,12,małopolskie,42.4
125,011212313000,oświęcimski,406.0,2022,1213,powiat,12,małopolskie,43.4
127,023015718000,ostrzeszowski,773.0,2022,3018,powiat,30,wielkopolskie,41.0
128,023216415000,szczecinecki,1766.0,2022,3215,powiat,32,zachodniopomorskie,43.9
129,023216604000,goleniowski,1615.0,2022,3204,powiat,32,zachodniopomorskie,42.4
130,030210321000,wałbrzyski,430.0,2022,0221,powiat,02,dolnośląskie,44.9
131,030210324000,ząbkowicki,802.0,2022,0224,powiat,02,dolnośląskie,45.2
133,051011803000,łaski,618.0,2022,1003,powiat,10,łódzkie,43.8
134,060611020000,zamojski,1870.0,2022,0620,powiat,06,lubelskie,43.4
135,061813608000,leżajski,584.0,2022,1808,powiat,18,podkarpackie,41.7
136,062013904000,grajewski,967.0,2022,2004,powiat,20,podlaskie,42.6
123,071427306000,grójecki,1268.0,2022,1406,powiat,14,mazowieckie,42.5
141,020811305000,słubicki,999.0,2022,0805,powiat,08,lubuskie,41.6
151,060611018000,tomaszowski,1487.0,2022,0618,powiat,06,lubelskie,44.2
156,062013702000,białostocki,2977.0,2022,2002,powiat,20,podlaskie,41.5
157,062013711000,sokólski,2054.0,2022,2011,powiat,20,podlaskie,44.5
158,062013803000,bielski,1385.0,2022,2003,powiat,20,podlaskie,45.2
159,062013805000,hajnowski,1624.0,2022,2005,powiat,20,podlaskie,48.5
160,062013806000,kolneński,940.0,2022,2006,powiat,20,podlaskie,41.6
161,062013807000,łomżyński,1355.0,2022,2007,powiat,20,podlaskie,41.1
162,062013810000,siemiatycki,1459.0,2022,2010,powiat,20,podlaskie,45.8
168,020811409000,zielonogórski,1351.0,2022,0809,powiat,08,lubuskie,41.9
169,020811410000,żagański,1131.0,2022,0810,powiat,08,lubuskie,43.6
170,020811411000,żarski,1393.0,2022,0811,powiat,08,lubuskie,43.1
171,020811412000,wschowski,624.0,2022,0812,powiat,08,lubuskie,41.9
172,023216410000,myśliborski,1182.0,2022,3210,powiat,32,zachodniopomorskie,43.3
173,030210420000,trzebnicki,1025.0,2022,0220,powiat,02,dolnośląskie,42.0
174,031613101000,brzeski,876.0,2022,1601,powiat,16,opolskie,43.2
303,042214163000,Słupsk,43.0,2022,2263,miasto na prawach powiatu,22,pomorskie,45.4
186,023015717000,ostrowski,1160.0,2022,3017,powiat,30,wielkopolskie,42.0
187,023016002000,czarnkowsko-trzcianecki,1808.0,2022,3002,powiat,30,wielkopolskie,41.9
188,023016019000,pilski,1266.0,2022,3019,powiat,30,wielkopolskie,42.6
189,023016028000,wągrowiecki,1040.0,2022,3028,powiat,30,wielkopolskie,40.2
190,023016031000,złotowski,1661.0,2022,3031,powiat,30,wielkopolskie,40.9
191,023016124000,szamotulski,1119.0,2022,3024,powiat,30,wielkopolskie,40.8
192,042217203000,człuchowski,1575.0,2022,2203,powiat,22,pomorskie,42.3
206,052615313000,włoszczowski,906.0,2022,2613,powiat,26,świętokrzyskie,43.6
207,060610901000,bialski,2754.0,2022,0601,powiat,06,lubelskie,41.7
210,012414403000,cieszyński,730.0,2022,2403,powiat,24,śląskie,42.7
211,012414417000,żywiecki,1040.0,2022,2417,powiat,24,śląskie,41.9
235,020811404000,nowosolski,771.0,2022,0804,powiat,08,lubuskie,43.1
232,020811301000,gorzowski,1214.0,2022,0801,powiat,08,lubuskie,41.1
233,020811303000,międzyrzecki,1388.0,2022,0803,powiat,08,lubuskie,43.1
166,012414461000,Bielsko-Biała,124.0,2022,2461,miasto na prawach powiatu,24,śląskie,44.2
9,012414513000,tarnogórski,644.0,2022,2413,powiat,24,śląskie,43.5
244,023015904000,gostyński,810.0,2022,3004,powiat,30,wielkopolskie,40.7
261,023216614000,stargardzki,1520.0,2022,3214,powiat,32,zachodniopomorskie,42.6
273,030210319000,świdnicki,741.0,2022,0219,powiat,02,dolnośląskie,44.4
281,031613107000,nyski,1224.0,2022,1607,powiat,16,opolskie,44.9
1,011212006000,krakowski,1230.0,2022,1206,powiat,12,małopolskie,40.8
4,011212210000,nowosądecki,1550.0,2022,1210,powiat,12,małopolskie,37.7
200,011212262000,Nowy Sącz,58.0,2022,1262,miasto na prawach powiatu,12,małopolskie,42.5
353,061813462000,Przemyśl,46.0,2022,1862,miasto na prawach powiatu,18,podkarpackie,46.0
205,011212463000,Tarnów,72.0,2022,1263,miasto na prawach powiatu,12,małopolskie,45.4
7,011216911000,nowotarski,1475.0,2022,1211,powiat,12,małopolskie,39.7
155,061813664000,Tarnobrzeg,85.0,2022,1864,miasto na prawach powiatu,18,podkarpackie,46.3
10,012414562000,Bytom,69.0,2022,2462,miasto na prawach powiatu,24,śląskie,44.1
137,012414571000,Piekary Śląskie,40.0,2022,2471,miasto na prawach powiatu,24,śląskie,44.3
11,012414604000,częstochowski,1522.0,2022,2404,powiat,24,śląskie,44.2
310,042815403000,działdowski,954.0,2022,2803,powiat,28,warmińsko-mazurskie,42.0
182,062013761000,Białystok,102.0,2022,2061,miasto na prawach powiatu,20,podlaskie,41.8
167,012414664000,Częstochowa,160.0,2022,2464,miasto na prawach powiatu,24,śląskie,46.6
12,012414705000,gliwicki,665.0,2022,2405,powiat,24,śląskie,42.8
163,062013813000,wysokomazowiecki,1289.0,2022,2013,powiat,20,podlaskie,42.3
164,062013814000,zambrowski,733.0,2022,2014,powiat,20,podlaskie,42.4
360,062013862000,Łomża,33.0,2022,2062,miasto na prawach powiatu,20,podlaskie,43.1
