oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Dochody budżetów powiatów|ogółem
349,061813317000,sanocki,1156.0,2022,1817,powiat,18,podkarpackie,1.2663791145E8
350,061813321000,leski,835.0,2022,1821,powiat,18,podkarpackie,4.707659443E7
352,061813409000,lubaczowski,1308.0,2022,1809,powiat,18,podkarpackie,1.0523005511E8
95,061813413000,przemyski,1211.0,2022,1813,powiat,18,podkarpackie,9.687956919E7
96,061813414000,przeworski,698.0,2022,1814,powiat,18,podkarpackie,1.1580109617E8
354,061813506000,kolbuszowski,773.0,2022,1806,powiat,18,podkarpackie,6.450854158E7
355,061813510000,łańcucki,452.0,2022,1810,powiat,18,podkarpackie,1.1584867528E8
356,061813515000,ropczycko-sędziszowski,548.0,2022,1815,powiat,18,podkarpackie,1.1588362171E8
97,061813516000,rzeszowski,1145.0,2022,1816,powiat,18,podkarpackie,2.1319545442E8
357,061813519000,strzyżowski,503.0,2022,1819,powiat,18,podkarpackie,1.13593994E8
185,071427062000,Płock,88.0,2022,1462,miasto na prawach powiatu,14,mazowieckie,0.0
119,071427103000,garwoliński,1285.0,2022,1403,powiat,14,mazowieckie,1.8814262332E8
181,061813563000,Rzeszów,129.0,2022,1863,miasto na prawach powiatu,18,podkarpackie,0.0
98,061813603000,dębicki,777.0,2022,1803,powiat,18,podkarpackie,1.660592965E8
122,071427164000,Siedlce,32.0,2022,1464,miasto na prawach powiatu,14,mazowieckie,0.0
358,061813611000,mielecki,881.0,2022,1811,powiat,18,podkarpackie,1.802712726E8
99,061813612000,niżański,786.0,2022,1812,powiat,18,podkarpackie,1.0411233197E8
100,061813618000,stalowowolski,832.0,2022,1818,powiat,18,podkarpackie,1.4498614484E8
359,061813620000,tarnobrzeski,521.0,2022,1820,powiat,18,podkarpackie,7.279510999E7
361,062013909000,sejneński,855.0,2022,2009,powiat,20,podlaskie,3.846278779E7
102,062013912000,suwalski,1307.0,2022,2012,powiat,20,podlaskie,6.625209317E7
363,071412865000,Warszawa,517.0,2022,1465,"miasto stołeczne, na prawach powiatu",14,mazowieckie,0.0
364,071412908000,legionowski,391.0,2022,1408,powiat,14,mazowieckie,1.5111832258E8
103,071412912000,miński,1164.0,2022,1412,powiat,14,mazowieckie,2.1674156916E8
365,071412917000,otwocki,616.0,2022,1417,powiat,14,mazowieckie,1.8466322616E8
104,071412934000,wołomiński,954.0,2022,1434,powiat,14,mazowieckie,3.254889479E8
366,071413005000,grodziski,367.0,2022,1405,powiat,14,mazowieckie,1.3744051768E8
367,071413014000,nowodworski,695.0,2022,1414,powiat,14,mazowieckie,9.90083263E7
368,071413018000,piaseczyński,621.0,2022,1418,powiat,14,mazowieckie,3.6116039448E8
369,071413021000,pruszkowski,246.0,2022,1421,powiat,14,mazowieckie,2.5703984359E8
105,071413032000,warszawski zachodni,534.0,2022,1432,powiat,14,mazowieckie,2.3147376767E8
106,071422502000,ciechanowski,1060.0,2022,1402,powiat,14,mazowieckie,1.360840481E8
107,071422513000,mławski,1182.0,2022,1413,powiat,14,mazowieckie,1.1443058316E8
108,071422520000,płoński,1380.0,2022,1420,powiat,14,mazowieckie,1.6214980099E8
370,071422524000,pułtuski,827.0,2022,1424,powiat,14,mazowieckie,1.1789566999E8
371,071422701000,białobrzeski,639.0,2022,1401,powiat,14,mazowieckie,5.75850215E7
373,071422709000,lipski,740.0,2022,1409,powiat,14,mazowieckie,8.080138263E7
115,071422723000,przysuski,801.0,2022,1423,powiat,14,mazowieckie,9.592175454E7
116,071422725000,radomski,1530.0,2022,1425,powiat,14,mazowieckie,2.2003574321E8
374,071422730000,szydłowiecki,452.0,2022,1430,powiat,14,mazowieckie,6.96758365E7
375,071422736000,zwoleński,573.0,2022,1436,powiat,14,mazowieckie,5.618704129E7
376,071427027000,sierpecki,852.0,2022,1427,powiat,14,mazowieckie,9.072866096E7
377,071427110000,łosicki,772.0,2022,1410,powiat,14,mazowieckie,6.757173673E7
120,071427129000,sokołowski,1131.0,2022,1429,powiat,14,mazowieckie,8.280582363E7
121,071427133000,węgrowski,1220.0,2022,1433,powiat,14,mazowieckie,1.1998628894E8
379,071427328000,sochaczewski,735.0,2022,1428,powiat,14,mazowieckie,1.3555177602E8
380,071427338000,żyrardowski,532.0,2022,1438,powiat,14,mazowieckie,1.1051343275E8
