oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Tereny zieleni|parki spacerowo - wypoczynkowe|powierzchnia|ogółem (w miastach i na wsi)
124,011212014000,proszowicki,415.0,2022,1214,powiat,12,małopolskie,7.5
125,011212313000,oświęcimski,406.0,2022,1213,powiat,12,małopolskie,65.34
127,023015718000,ostrzeszowski,773.0,2022,3018,powiat,30,wielkopolskie,11.8
128,023216415000,szczecinecki,1766.0,2022,3215,powiat,32,zachodniopomorskie,242.4
129,023216604000,goleniowski,1615.0,2022,3204,powiat,32,zachodniopomorskie,48.14
130,030210321000,wałbrzyski,430.0,2022,0221,powiat,02,dolnośląskie,137.43
131,030210324000,ząbkowicki,802.0,2022,0224,powiat,02,dolnośląskie,164.2
133,051011803000,łaski,618.0,2022,1003,powiat,10,łódzkie,13.9
134,060611020000,zamojski,1870.0,2022,0620,powiat,06,lubelskie,14.5
135,061813608000,leżajski,584.0,2022,1808,powiat,18,podkarpackie,5.0
136,062013904000,grajewski,967.0,2022,2004,powiat,20,podlaskie,11.0
123,071427306000,grójecki,1268.0,2022,1406,powiat,14,mazowieckie,38.85
141,020811305000,słubicki,999.0,2022,0805,powiat,08,lubuskie,43.41
151,060611018000,tomaszowski,1487.0,2022,0618,powiat,06,lubelskie,8.9
156,062013702000,białostocki,2977.0,2022,2002,powiat,20,podlaskie,67.69
157,062013711000,sokólski,2054.0,2022,2011,powiat,20,podlaskie,25.5
158,062013803000,bielski,1385.0,2022,2003,powiat,20,podlaskie,13.78
159,062013805000,hajnowski,1624.0,2022,2005,powiat,20,podlaskie,9.0
160,062013806000,kolneński,940.0,2022,2006,powiat,20,podlaskie,0.0
161,062013807000,łomżyński,1355.0,2022,2007,powiat,20,podlaskie,0.0
162,062013810000,siemiatycki,1459.0,2022,2010,powiat,20,podlaskie,61.9
168,020811409000,zielonogórski,1351.0,2022,0809,powiat,08,lubuskie,57.55
169,020811410000,żagański,1131.0,2022,0810,powiat,08,lubuskie,73.5
