oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Stopa bezrobocia rejestrowanego|ogółem
124,011212014000,proszowicki,415.0,2022,1214,powiat,12,małopolskie,6.1
125,011212313000,oświęcimski,406.0,2022,1213,powiat,12,małopolskie,5.5
127,023015718000,ostrzeszowski,773.0,2022,3018,powiat,30,wielkopolskie,3.6
128,023216415000,szczecinecki,1766.0,2022,3215,powiat,32,zachodniopomorskie,15.1
129,023216604000,goleniowski,1615.0,2022,3204,powiat,32,zachodniopomorskie,3.4
130,030210321000,wałbrzyski,430.0,2022,0221,powiat,02,dolnośląskie,11.7
131,030210324000,ząbkowicki,802.0,2022,0224,powiat,02,dolnośląskie,9.5
133,051011803000,łaski,618.0,2022,1003,powiat,10,łódzkie,7.3
134,060611020000,zamojski,1870.0,2022,0620,powiat,06,lubelskie,10.7
135,061813608000,leżajski,584.0,2022,1808,powiat,18,podkarpackie,14.8
136,062013904000,grajewski,967.0,2022,2004,powiat,20,podlaskie,11.6
123,071427306000,grójecki,1268.0,2022,1406,powiat,14,mazowieckie,2.4
141,020811305000,słubicki,999.0,2022,0805,powiat,08,lubuskie,2.3
151,060611018000,tomaszowski,1487.0,2022,0618,powiat,06,lubelskie,9.1
156,062013702000,białostocki,2977.0,2022,2002,powiat,20,podlaskie,7.5
157,062013711000,sokólski,2054.0,2022,2011,powiat,20,podlaskie,11.1
158,062013803000,bielski,1385.0,2022,2003,powiat,20,podlaskie,4.2
159,062013805000,hajnowski,1624.0,2022,2005,powiat,20,podlaskie,8.1
160,062013806000,kolneński,940.0,2022,2006,powiat,20,podlaskie,16.1
161,062013807000,łomżyński,1355.0,2022,2007,powiat,20,podlaskie,5.2
162,062013810000,siemiatycki,1459.0,2022,2010,powiat,20,podlaskie,6.0
168,020811409000,zielonogórski,1351.0,2022,0809,powiat,08,lubuskie,7.4
169,020811410000,żagański,1131.0,2022,0810,powiat,08,lubuskie,6.2
170,020811411000,żarski,1393.0,2022,0811,powiat,08,lubuskie,5.2
171,020811412000,wschowski,624.0,2022,0812,powiat,08,lubuskie,7.4
