oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Przeciętne miesięczne wynagrodzenia brutto|ogółem
122,071427164000,Siedlce,32.0,2022,1464,miasto na prawach powiatu,14,mazowieckie,6234.01
358,061813611000,mielecki,881.0,2022,1811,powiat,18,podkarpackie,5845.43
99,061813612000,niżański,786.0,2022,1812,powiat,18,podkarpackie,5022.68
100,061813618000,stalowowolski,832.0,2022,1818,powiat,18,podkarpackie,5817.58
359,061813620000,tarnobrzeski,521.0,2022,1820,powiat,18,podkarpackie,5746.03
361,062013909000,sejneński,855.0,2022,2009,powiat,20,podlaskie,6308.4
102,062013912000,suwalski,1307.0,2022,2012,powiat,20,podlaskie,5323.6
363,071412865000,Warszawa,517.0,2022,1465,"miasto stołeczne, na prawach powiatu",14,mazowieckie,8540.11
364,071412908000,legionowski,391.0,2022,1408,powiat,14,mazowieckie,6034.24
103,071412912000,miński,1164.0,2022,1412,powiat,14,mazowieckie,5785.24
365,071412917000,otwocki,616.0,2022,1417,powiat,14,mazowieckie,6468.8
104,071412934000,wołomiński,954.0,2022,1434,powiat,14,mazowieckie,6065.79
366,071413005000,grodziski,367.0,2022,1405,powiat,14,mazowieckie,7139.72
367,071413014000,nowodworski,695.0,2022,1414,powiat,14,mazowieckie,7534.84
368,071413018000,piaseczyński,621.0,2022,1418,powiat,14,mazowieckie,6499.96
369,071413021000,pruszkowski,246.0,2022,1421,powiat,14,mazowieckie,7516.43
105,071413032000,warszawski zachodni,534.0,2022,1432,powiat,14,mazowieckie,7077.31
106,071422502000,ciechanowski,1060.0,2022,1402,powiat,14,mazowieckie,6213.79
107,071422513000,mławski,1182.0,2022,1413,powiat,14,mazowieckie,5385.65
108,071422520000,płoński,1380.0,2022,1420,powiat,14,mazowieckie,5660.12
370,071422524000,pułtuski,827.0,2022,1424,powiat,14,mazowieckie,5503.6
371,071422701000,białobrzeski,639.0,2022,1401,powiat,14,mazowieckie,5563.78
373,071422709000,lipski,740.0,2022,1409,powiat,14,mazowieckie,5595.82
115,071422723000,przysuski,801.0,2022,1423,powiat,14,mazowieckie,5564.37
116,071422725000,radomski,1530.0,2022,1425,powiat,14,mazowieckie,5412.43
374,071422730000,szydłowiecki,452.0,2022,1430,powiat,14,mazowieckie,5271.91
375,071422736000,zwoleński,573.0,2022,1436,powiat,14,mazowieckie,5638.92
376,071427027000,sierpecki,852.0,2022,1427,powiat,14,mazowieckie,5505.06
377,071427110000,łosicki,772.0,2022,1410,powiat,14,mazowieckie,5362.58
120,071427129000,sokołowski,1131.0,2022,1429,powiat,14,mazowieckie,5459.15
121,071427133000,węgrowski,1220.0,2022,1433,powiat,14,mazowieckie,5786.65
379,071427328000,sochaczewski,735.0,2022,1428,powiat,14,mazowieckie,6994.09
380,071427338000,żyrardowski,532.0,2022,1438,powiat,14,mazowieckie,6403.0
